experiment,chunk_size,overlap,top_k,case_id,gold_label,pred_label,pred_score,correct,recall_at_k,mrr,latency_sec,cost_usd
chunk_size,150,25,5,rag_part_35,partial,compliant,100,False,,,2.699,0.00022005
chunk_size,150,25,5,rag_non-_36,non-compliant,non-compliant,0,True,,,2.352,0.00021419999999999998
chunk_size,150,25,5,rag_comp_37,compliant,partial,50,False,,,4.917,0.00022964999999999997
chunk_size,150,25,5,rag_part_38,partial,compliant,100,False,,,3.477,0.00022214999999999998
chunk_size,150,25,5,rag_non-_39,non-compliant,partial,50,False,,,2.603,0.00025005000000000003
chunk_size,150,25,5,rag_part_40,partial,non-compliant,0,False,,,1.351,0.00021495
chunk_size,250,42,5,rag_comp_01,compliant,compliant,100,True,,,1.124,0.00020865
chunk_size,250,42,5,rag_part_02,partial,partial,50,True,,,1.574,0.00024239999999999998
chunk_size,250,42,5,rag_part_03,partial,compliant,100,False,,,1.457,0.00020879999999999998
chunk_size,250,42,5,rag_non-_04,non-compliant,compliant,100,False,,,2.409,0.0002361
chunk_size,250,42,5,rag_comp_05,compliant,non-compliant,0,False,,,1.429,0.00021675
chunk_size,250,42,5,rag_non-_06,non-compliant,non-compliant,0,True,,,2.48,0.00022140000000000001
chunk_size,250,42,5,rag_comp_07,compliant,compliant,100,True,,,1.641,0.00021225
chunk_size,250,42,5,rag_part_08,partial,partial,50,True,,,2.399,0.0002568
chunk_size,250,42,5,rag_comp_09,compliant,compliant,100,True,,,2.151,0.00022215
chunk_size,250,42,5,rag_non-_10,non-compliant,compliant,100,False,,,2.95,0.00022275
chunk_size,250,42,5,rag_non-_11,non-compliant,compliant,100,False,,,2.722,0.0002211
chunk_size,250,42,5,rag_part_12,partial,partial,50,True,,,2.008,0.0002235
chunk_size,250,42,5,rag_comp_13,compliant,compliant,100,True,,,1.7,0.00023835
chunk_size,250,42,5,rag_non-_14,non-compliant,partial,50,False,,,1.882,0.00023009999999999996
chunk_size,250,42,5,rag_part_15,partial,partial,50,True,,,1.877,0.0002229
chunk_size,250,42,5,rag_comp_16,compliant,compliant,100,True,,,1.862,0.00021375
chunk_size,250,42,5,rag_part_17,partial,compliant,100,False,,,1.962,0.0002097
chunk_size,250,42,5,rag_non-_18,non-compliant,partial,50,False,,,1.999,0.00022769999999999998
chunk_size,250,42,5,rag_comp_19,compliant,compliant,100,True,,,1.752,0.00021794999999999999
chunk_size,250,42,5,rag_non-_20,non-compliant,compliant,100,False,,,1.427,0.0002208
chunk_size,250,42,5,rag_comp_21,compliant,compliant,100,True,,,1.946,0.00023759999999999997
chunk_size,250,42,5,rag_part_22,partial,compliant,100,False,,,1.433,0.00021930000000000002
chunk_size,250,42,5,rag_part_23,partial,partial,50,True,,,1.963,0.00021225
chunk_size,250,42,5,rag_non-_24,non-compliant,compliant,100,False,,,1.842,0.0002121
chunk_size,250,42,5,rag_comp_25,compliant,compliant,100,True,,,1.626,0.000219
chunk_size,250,42,5,rag_part_26,partial,compliant,100,False,,,1.317,0.00021434999999999998
chunk_size,250,42,5,rag_part_27,partial,non-compliant,0,False,,,1.708,0.00021255
chunk_size,250,42,5,rag_non-_28,non-compliant,non-compliant,0,True,,,2.286,0.0002271
chunk_size,250,42,5,rag_comp_29,compliant,compliant,100,True,,,1.711,0.00021314999999999998
chunk_size,250,42,5,rag_non-_30,non-compliant,non-compliant,0,True,,,2.455,0.000225
chunk_size,250,42,5,rag_comp_31,compliant,compliant,100,True,,,1.686,0.00020954999999999997
chunk_size,250,42,5,rag_comp_32,compliant,compliant,100,True,,,1.429,0.00022065
chunk_size,250,42,5,rag_part_33,partial,partial,50,True,,,2.381,0.00024195
chunk_size,250,42,5,rag_non-_34,non-compliant,compliant,100,False,,,1.614,0.00021404999999999997
chunk_size,250,42,5,rag_part_35,partial,compliant,100,False,,,1.773,0.00022994999999999998
chunk_size,250,42,5,rag_non-_36,non-compliant,compliant,100,False,,,3.485,0.00022125
chunk_size,250,42,5,rag_comp_37,compliant,partial,50,False,,,1.828,0.00021975
chunk_size,250,42,5,rag_part_38,partial,compliant,100,False,,,2.356,0.00022529999999999997
chunk_size,250,42,5,rag_non-_39,non-compliant,partial,50,False,,,2.664,0.0002505
chunk_size,250,42,5,rag_part_40,partial,non-compliant,40,False,,,1.712,0.00022485
chunk_size,350,59,5,rag_comp_01,compliant,compliant,100,True,,,1.215,0.00020234999999999999
chunk_size,350,59,5,rag_part_02,partial,partial,50,True,,,2.401,0.00024119999999999998
chunk_size,350,59,5,rag_part_03,partial,compliant,100,False,,,1.438,0.0002025
chunk_size,350,59,5,rag_non-_04,non-compliant,compliant,100,False,,,1.668,0.00020714999999999997
chunk_size,350,59,5,rag_comp_05,compliant,non-compliant,0,False,,,1.481,0.0002196
chunk_size,350,59,5,rag_non-_06,non-compliant,non-compliant,0,True,,,1.945,0.00022244999999999999
chunk_size,350,59,5,rag_comp_07,compliant,compliant,100,True,,,2.003,0.00021915
chunk_size,350,59,5,rag_part_08,partial,partial,50,True,,,9.801,0.000246
chunk_size,350,59,5,rag_comp_09,compliant,compliant,100,True,,,1.799,0.00023415
chunk_size,350,59,5,rag_non-_10,non-compliant,compliant,100,False,,,2.243,0.0002247
chunk_size,350,59,5,rag_non-_11,non-compliant,compliant,100,False,,,1.903,0.00023249999999999996
chunk_size,350,59,5,rag_part_12,partial,partial,50,True,,,1.725,0.0002343
chunk_size,350,59,5,rag_comp_13,compliant,compliant,100,True,,,1.41,0.00022845
chunk_size,350,59,5,rag_non-_14,non-compliant,partial,50,False,,,2.205,0.00022845
chunk_size,350,59,5,rag_part_15,partial,compliant,100,False,,,2.389,0.0002397
chunk_size,350,59,5,rag_comp_16,compliant,compliant,100,True,,,2.346,0.00021705
chunk_size,350,59,5,rag_part_17,partial,compliant,100,False,,,1.889,0.0002064
chunk_size,350,59,5,rag_non-_18,non-compliant,compliant,100,False,,,2.287,0.00022034999999999996
chunk_size,350,59,5,rag_comp_19,compliant,compliant,100,True,,,2.181,0.0002343
chunk_size,350,59,5,rag_non-_20,non-compliant,compliant,100,False,,,2.03,0.00021315
chunk_size,350,59,5,rag_comp_21,compliant,compliant,100,True,,,2.589,0.00023534999999999997
chunk_size,350,59,5,rag_part_22,partial,compliant,100,False,,,1.776,0.0002145
chunk_size,350,59,5,rag_part_23,partial,partial,50,True,,,1.997,0.00021675
chunk_size,350,59,5,rag_non-_24,non-compliant,partial,50,False,,,2.846,0.0002247
chunk_size,350,59,5,rag_comp_25,compliant,compliant,100,True,,,2.063,0.00020894999999999998
chunk_size,350,59,5,rag_part_26,partial,compliant,100,False,,,1.292,0.00019334999999999996
chunk_size,350,59,5,rag_part_27,partial,non-compliant,0,False,,,1.306,0.00021255000000000002
chunk_size,350,59,5,rag_non-_28,non-compliant,non-compliant,0,True,,,1.781,0.00022979999999999997
chunk_size,350,59,5,rag_comp_29,compliant,compliant,100,True,,,1.386,0.00020355
chunk_size,350,59,5,rag_non-_30,non-compliant,partial,50,False,,,2.962,0.00023189999999999997
chunk_size,350,59,5,rag_comp_31,compliant,compliant,100,True,,,1.332,0.0002172
chunk_size,350,59,5,rag_comp_32,compliant,compliant,100,True,,,1.348,0.00021644999999999998
chunk_size,350,59,5,rag_part_33,partial,partial,50,True,,,2.568,0.0002604
chunk_size,350,59,5,rag_non-_34,non-compliant,compliant,100,False,,,1.869,0.00022395
chunk_size,350,59,5,rag_part_35,partial,compliant,100,False,,,1.727,0.000231
chunk_size,350,59,5,rag_non-_36,non-compliant,non-compliant,0,True,,,2.124,0.00021825
chunk_size,350,59,5,rag_comp_37,compliant,compliant,100,True,,,1.95,0.0002295
chunk_size,350,59,5,rag_part_38,partial,compliant,100,False,,,1.974,0.00022380000000000002
chunk_size,350,59,5,rag_non-_39,non-compliant,partial,50,False,,,2.643,0.00024839999999999997
chunk_size,350,59,5,rag_part_40,partial,partial,50,True,,,1.34,0.00021015
chunk_size,500,85,5,rag_comp_01,compliant,compliant,100,True,,,1.466,0.00020429999999999998
chunk_size,500,85,5,rag_part_02,partial,partial,75,True,,,2.413,0.00023984999999999998
chunk_size,500,85,5,rag_part_03,partial,compliant,100,False,,,1.669,0.0002055
chunk_size,500,85,5,rag_non-_04,non-compliant,compliant,100,False,,,1.736,0.00021
chunk_size,500,85,5,rag_comp_05,compliant,non-compliant,0,False,,,2.021,0.00021765
chunk_size,500,85,5,rag_non-_06,non-compliant,partial,50,False,,,1.704,0.00022199999999999998
chunk_size,500,85,5,rag_comp_07,compliant,compliant,100,True,,,1.469,0.00022035
chunk_size,500,85,5,rag_part_08,partial,partial,50,True,,,2.326,0.00025875
chunk_size,500,85,5,rag_comp_09,compliant,compliant,100,True,,,1.972,0.00024239999999999998
chunk_size,500,85,5,rag_non-_10,non-compliant,compliant,100,False,,,2.219,0.00021495
chunk_size,500,85,5,rag_non-_11,non-compliant,compliant,100,False,,,1.995,0.00021735
chunk_size,500,85,5,rag_part_12,partial,partial,50,True,,,7.194,0.00023295
chunk_size,500,85,5,rag_comp_13,compliant,compliant,100,True,,,1.53,0.000228
chunk_size,500,85,5,rag_non-_14,non-compliant,partial,75,False,,,1.767,0.00022184999999999997
chunk_size,500,85,5,rag_part_15,partial,compliant,100,False,,,1.534,0.00020204999999999998
chunk_size,500,85,5,rag_comp_16,compliant,compliant,100,True,,,2.373,0.00021464999999999999
chunk_size,500,85,5,rag_part_17,partial,compliant,100,False,,,1.756,0.00020939999999999997
chunk_size,500,85,5,rag_non-_18,non-compliant,compliant,100,False,,,3.079,0.00021224999999999998
chunk_size,500,85,5,rag_comp_19,compliant,compliant,100,True,,,1.716,0.00021945
chunk_size,500,85,5,rag_non-_20,non-compliant,compliant,100,False,,,2.237,0.00024014999999999998
chunk_size,500,85,5,rag_comp_21,compliant,compliant,100,True,,,1.884,0.0002499
chunk_size,500,85,5,rag_part_22,partial,compliant,100,False,,,2.14,0.00021915
chunk_size,500,85,5,rag_part_23,partial,partial,50,True,,,2.012,0.0002241
chunk_size,500,85,5,rag_non-_24,non-compliant,compliant,100,False,,,1.83,0.00022185
chunk_size,500,85,5,rag_comp_25,compliant,compliant,100,True,,,1.779,0.0002007
chunk_size,500,85,5,rag_part_26,partial,compliant,100,False,,,1.378,0.000207
chunk_size,500,85,5,rag_part_27,partial,compliant,100,False,,,1.403,0.000213
chunk_size,500,85,5,rag_non-_28,non-compliant,compliant,100,False,,,2.57,0.000264
chunk_size,500,85,5,rag_comp_29,compliant,partial,80,False,,,1.719,0.00023775
chunk_size,500,85,5,rag_non-_30,non-compliant,partial,50,False,,,1.932,0.0002403
chunk_size,500,85,5,rag_comp_31,compliant,compliant,100,True,,,1.437,0.00021404999999999997
chunk_size,500,85,5,rag_comp_32,compliant,compliant,100,True,,,1.93,0.00024195
chunk_size,500,85,5,rag_part_33,partial,partial,50,True,,,2.733,0.00024975
chunk_size,500,85,5,rag_non-_34,non-compliant,compliant,100,False,,,1.257,0.000219
chunk_size,500,85,5,rag_part_35,partial,compliant,100,False,,,5.343,0.00020805000000000002
chunk_size,500,85,5,rag_non-_36,non-compliant,compliant,100,False,,,1.18,0.00019965
chunk_size,500,85,5,rag_comp_37,compliant,partial,50,False,,,2.184,0.0002337
chunk_size,500,85,5,rag_part_38,partial,compliant,100,False,,,2.009,0.0002211
chunk_size,500,85,5,rag_non-_39,non-compliant,partial,50,False,,,2.582,0.00025515
chunk_size,500,85,5,rag_part_40,partial,partial,50,True,,,1.077,0.0002016
