experiment,chunk_size,top_k,case_id,gold_label,pred_label,pred_score,correct,recall_at_k,mrr,latency_sec,cost_usd
topk,350,3,rag_comp_31,compliant,compliant,100,True,,,1.327,0.00021779999999999998
topk,350,3,rag_comp_32,compliant,compliant,100,True,,,1.512,0.00021644999999999998
topk,350,3,rag_part_33,partial,non-compliant,0,False,,,1.57,0.0002316
topk,350,3,rag_non-_34,non-compliant,compliant,100,False,,,1.572,0.00021554999999999998
topk,350,3,rag_part_35,partial,compliant,100,False,,,2.09,0.000231
topk,350,3,rag_non-_36,non-compliant,non-compliant,0,True,,,1.672,0.00021825
topk,350,3,rag_comp_37,compliant,compliant,100,True,,,3.303,0.0002313
topk,350,3,rag_part_38,partial,compliant,100,False,,,2.356,0.0002262
topk,350,3,rag_non-_39,non-compliant,partial,50,False,,,2.887,0.00024839999999999997
topk,350,3,rag_part_40,partial,partial,50,True,,,2.488,0.00022094999999999998
topk,350,5,rag_comp_01,compliant,compliant,100,True,,,1.685,0.00020234999999999999
topk,350,5,rag_part_02,partial,partial,50,True,,,1.978,0.00024119999999999998
topk,350,5,rag_part_03,partial,compliant,100,False,,,1.56,0.0002025
topk,350,5,rag_non-_04,non-compliant,compliant,100,False,,,2.011,0.00020714999999999997
topk,350,5,rag_comp_05,compliant,non-compliant,0,False,,,1.543,0.0002196
topk,350,5,rag_non-_06,non-compliant,non-compliant,0,True,,,5.222,0.00022244999999999999
topk,350,5,rag_comp_07,compliant,compliant,100,True,,,1.393,0.00022094999999999998
topk,350,5,rag_part_08,partial,partial,50,True,,,2.126,0.000246
topk,350,5,rag_comp_09,compliant,compliant,100,True,,,1.715,0.00023415
topk,350,5,rag_non-_10,non-compliant,compliant,100,False,,,4.191,0.0002253
topk,350,5,rag_non-_11,non-compliant,compliant,100,False,,,1.571,0.0002169
topk,350,5,rag_part_12,partial,non-compliant,0,False,,,2.787,0.0002235
topk,350,5,rag_comp_13,compliant,compliant,100,True,,,1.693,0.00022845
topk,350,5,rag_non-_14,non-compliant,partial,50,False,,,2.699,0.00024225
topk,350,5,rag_part_15,partial,compliant,100,False,,,2.079,0.0002337
topk,350,5,rag_comp_16,compliant,compliant,100,True,,,2.317,0.00021705
topk,350,5,rag_part_17,partial,compliant,100,False,,,1.88,0.0002064
topk,350,5,rag_non-_18,non-compliant,compliant,100,False,,,2.09,0.00022155
topk,350,5,rag_comp_19,compliant,compliant,100,True,,,1.778,0.0002211
topk,350,5,rag_non-_20,non-compliant,compliant,100,False,,,1.732,0.00021315
topk,350,5,rag_comp_21,compliant,compliant,100,True,,,2.163,0.00023534999999999997
topk,350,5,rag_part_22,partial,compliant,100,False,,,1.631,0.0002163
topk,350,5,rag_part_23,partial,partial,50,True,,,1.758,0.00021435
topk,350,5,rag_non-_24,non-compliant,partial,50,False,,,2.462,0.0002415
topk,350,5,rag_comp_25,compliant,compliant,100,True,,,1.731,0.00020954999999999997
topk,350,5,rag_part_26,partial,compliant,100,False,,,1.952,0.00019274999999999997
topk,350,5,rag_part_27,partial,non-compliant,0,False,,,1.86,0.00021255000000000002
topk,350,5,rag_non-_28,non-compliant,non-compliant,0,True,,,1.743,0.00022079999999999997
topk,350,5,rag_comp_29,compliant,partial,70,False,,,2.813,0.00021614999999999997
topk,350,5,rag_non-_30,non-compliant,partial,50,False,,,2.176,0.0002349
topk,350,5,rag_comp_31,compliant,compliant,100,True,,,3.055,0.0002172
topk,350,5,rag_comp_32,compliant,compliant,100,True,,,1.699,0.00021644999999999998
topk,350,5,rag_part_33,partial,non-compliant,0,False,,,1.782,0.0002316
topk,350,5,rag_non-_34,non-compliant,compliant,100,False,,,1.634,0.00021554999999999998
topk,350,5,rag_part_35,partial,compliant,100,False,,,2.093,0.000231
topk,350,5,rag_non-_36,non-compliant,non-compliant,0,True,,,1.697,0.00021825
topk,350,5,rag_comp_37,compliant,compliant,100,True,,,1.942,0.0002295
topk,350,5,rag_part_38,partial,compliant,100,False,,,2.405,0.0002262
topk,350,5,rag_non-_39,non-compliant,partial,50,False,,,2.812,0.00024839999999999997
topk,350,5,rag_part_40,partial,partial,50,True,,,1.927,0.00021495
topk,350,10,rag_comp_01,compliant,compliant,100,True,,,1.743,0.00020234999999999999
topk,350,10,rag_part_02,partial,partial,50,True,,,2.094,0.00024119999999999998
topk,350,10,rag_part_03,partial,compliant,100,False,,,2.527,0.0002325
topk,350,10,rag_non-_04,non-compliant,compliant,100,False,,,1.852,0.00020714999999999997
topk,350,10,rag_comp_05,compliant,non-compliant,0,False,,,1.677,0.0002196
topk,350,10,rag_non-_06,non-compliant,non-compliant,0,True,,,3.016,0.00022244999999999999
topk,350,10,rag_comp_07,compliant,compliant,100,True,,,1.368,0.00021915
topk,350,10,rag_part_08,partial,partial,50,True,,,2.723,0.000246
topk,350,10,rag_comp_09,compliant,compliant,100,True,,,1.699,0.00023415
topk,350,10,rag_non-_10,non-compliant,compliant,100,False,,,2.703,0.0002247
topk,350,10,rag_non-_11,non-compliant,compliant,100,False,,,1.886,0.00023129999999999998
topk,350,10,rag_part_12,partial,partial,50,True,,,2.223,0.0002343
topk,350,10,rag_comp_13,compliant,compliant,100,True,,,1.74,0.00022845
topk,350,10,rag_non-_14,non-compliant,partial,50,False,,,2.081,0.00022845
topk,350,10,rag_part_15,partial,compliant,100,False,,,2.294,0.00024089999999999997
topk,350,10,rag_comp_16,compliant,compliant,100,True,,,1.282,0.00021705
topk,350,10,rag_part_17,partial,compliant,100,False,,,1.708,0.0001998
topk,350,10,rag_non-_18,non-compliant,compliant,100,False,,,1.956,0.00022155
topk,350,10,rag_comp_19,compliant,compliant,100,True,,,2.31,0.0002481
topk,350,10,rag_non-_20,non-compliant,compliant,100,False,,,1.529,0.00021315
topk,350,10,rag_comp_21,compliant,compliant,100,True,,,2.859,0.00023534999999999997
topk,350,10,rag_part_22,partial,compliant,100,False,,,1.734,0.0002163
topk,350,10,rag_part_23,partial,partial,50,True,,,1.746,0.00021435
topk,350,10,rag_non-_24,non-compliant,partial,50,False,,,2.275,0.0002247
topk,350,10,rag_comp_25,compliant,compliant,100,True,,,2.126,0.00020894999999999998
topk,350,10,rag_part_26,partial,compliant,100,False,,,2.145,0.00019934999999999997
topk,350,10,rag_part_27,partial,non-compliant,0,False,,,1.888,0.00021255000000000002
topk,350,10,rag_non-_28,non-compliant,non-compliant,0,True,,,2.112,0.00022979999999999997
topk,350,10,rag_comp_29,compliant,partial,70,False,,,2.365,0.00021794999999999999
topk,350,10,rag_non-_30,non-compliant,compliant,100,False,,,2.538,0.00021869999999999998
topk,350,10,rag_comp_31,compliant,compliant,100,True,,,7.888,0.00021779999999999998
topk,350,10,rag_comp_32,compliant,compliant,100,True,,,1.627,0.00021644999999999998
topk,350,10,rag_part_33,partial,non-compliant,0,False,,,5.488,0.0002316
topk,350,10,rag_non-_34,non-compliant,compliant,100,False,,,1.78,0.00022395
topk,350,10,rag_part_35,partial,compliant,100,False,,,2.239,0.000231
topk,350,10,rag_non-_36,non-compliant,non-compliant,0,True,,,1.978,0.00021825
topk,350,10,rag_comp_37,compliant,compliant,100,True,,,2.039,0.0002295
topk,350,10,rag_part_38,partial,compliant,100,False,,,2.395,0.0002262
topk,350,10,rag_non-_39,non-compliant,partial,50,False,,,2.572,0.0002532
topk,350,10,rag_part_40,partial,partial,50,True,,,2.458,0.00022275
